from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUHRC,940GZZLUHR5,"Heathrow Terminals 1,2,3",Heathrow Terminal 5,Piccadilly,Inbound,WB,WB
940GZZLUHRC,940GZZLUHNX,"Heathrow Terminals 1,2,3",Hatton Cross,Piccadilly,Outbound,EB,EB
940GZZLUACT,940GZZLUSEA,Acton Town,South Ealing,Piccadilly,Inbound,WB,WB
940GZZLUACT,940GZZLUECM,Acton Town,Ealing Common,Piccadilly,Inbound,WB,WB
940GZZLUACT,940GZZLUTNG,Acton Town,Turnham Green,Piccadilly,Outbound,EB,EB
940GZZLUACT,940GZZLUECM,Acton Town,Ealing Common,District,Inbound,WB,WB
940GZZLUACT,940GZZLUCWP,Acton Town,Chiswick Park,District,Outbound,EB,EB
940GZZLUALD,940GZZLULVT,Aldgate,Liverpool Street,Metropolitan,Inbound,NB,NB
940GZZLUALD,940GZZLUTWH,Aldgate,Tower Hill,Circle,Outbound,OR,SB
940GZZLUALD,940GZZLULVT,Aldgate,Liverpool Street,Circle,Inbound,IR,NB
940GZZLUADE,940GZZLUTWH,Aldgate East,Tower Hill,District,Inbound,WB,WB
940GZZLUADE,940GZZLUWPL,Aldgate East,Whitechapel,District,Outbound,EB,EB
940GZZLUADE,940GZZLUWPL,Aldgate East,Whitechapel,Hammersmith & City,Outbound,EB,EB
940GZZLUADE,940GZZLULVT,Aldgate East,Liverpool Street,Hammersmith & City,Inbound,WB,WB
940GZZLUALP,940GZZLUSUT,Alperton,Sudbury Town,Piccadilly,Inbound,WB,WB
940GZZLUALP,940GZZLUPKR,Alperton,Park Royal,Piccadilly,Outbound,EB,EB
940GZZLUAMS,940GZZLUCAL,Amersham,Chalfont & Latimer,Metropolitan,Outbound,SB,SB
940GZZLUAGL,940GZZLUKSX,Angel,King's Cross St Pancras,Northern,Outbound,NB,NB
940GZZLUAGL,940GZZLUODS,Angel,Old Street,Northern,Inbound,SB,SB
940GZZLUACY,940GZZLUHGT,Archway,Highgate,Northern,Outbound,NB,NB
940GZZLUACY,940GZZLUTFP,Archway,Tufnell Park,Northern,Inbound,SB,SB
940GZZLUASG,940GZZLUBDS,Arnos Grove,Bounds Green,Piccadilly,Inbound,WB,WB
940GZZLUASG,940GZZLUSGT,Arnos Grove,Southgate,Piccadilly,Outbound,EB,EB
940GZZLUASL,940GZZLUHWY,Arsenal,Holloway Road,Piccadilly,Inbound,WB,WB
940GZZLUASL,940GZZLUFPK,Arsenal,Finsbury Park,Piccadilly,Outbound,EB,EB
940GZZLUBST,940GZZLURGP,Baker Street,Regent's Park,Bakerloo,Inbound,SB,SB
940GZZLUBST,940GZZLUMYB,Baker Street,Marylebone,Bakerloo,Outbound,NB,NB
940GZZLUBST,940GZZLUBND,Baker Street,Bond Street,Jubilee,Outbound,EB,SB
940GZZLUBST,940GZZLUSJW,Baker Street,St John's Wood,Jubilee,Inbound,WB,NB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Metropolitan,Outbound,SB,SB
940GZZLUBST,940GZZLUFYR,Baker Street,Finchley Road,Metropolitan,Inbound,NB,NB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Hammersmith & City,Outbound,EB,EB
940GZZLUBST,940GZZLUERC,Baker Street,Edgware Road,Hammersmith & City,Inbound,WB,WB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Circle,Outbound,OR,EB
940GZZLUBST,940GZZLUERC,Baker Street,Edgware Road,Circle,Inbound,IR,WB
940GZZLUBLM,940GZZLUCPS,Balham,Clapham South,Northern,Outbound,NB,NB
940GZZLUBLM,940GZZLUTBC,Balham,Tooting Bec,Northern,Inbound,SB,SB
940GZZLUBNK,940GZZLUSPU,Bank,St Paul's,Central,Inbound,WB,WB
940GZZLUBNK,940GZZLULVT,Bank,Liverpool Street,Central,Outbound,EB,EB
940GZZLUBNK,940GZZLUMGT,Bank,Moorgate,Northern,Outbound,NB,NB
940GZZLUBNK,940GZZLULNB,Bank,London Bridge,Northern,Inbound,SB,SB
940GZZLUBNK,940GZZLUWLO,Bank,Waterloo,Waterloo & City,Inbound,WB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Metropolitan,Outbound,SB,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Metropolitan,Inbound,NB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Hammersmith & City,Outbound,EB,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Hammersmith & City,Inbound,WB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Circle,Outbound,OR,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Circle,Inbound,IR,WB
940GZZLUBKG,940GZZLUEHM,Barking,East Ham,District,Inbound,WB,WB
940GZZLUBKG,940GZZLUUPY,Barking,Upney,District,Outbound,EB,EB
940GZZLUBKG,940GZZLUEHM,Barking,East Ham,Hammersmith & City,Inbound,WB,WB
940GZZLUBKE,940GZZLUNBP,Barkingside,Newbury Park,Central,Inbound,WB,WB
940GZZLUBKE,940GZZLUFLP,Barkingside,Fairlop,Central,Outbound,EB,EB
940GZZLUBSC,940GZZLUHSD,Barons Court,Hammersmith,Piccadilly,Inbound,WB,WB
940GZZLUBSC,940GZZLUECT,Barons Court,Earl's Court,Piccadilly,Outbound,EB,EB
940GZZLUBSC,940GZZLUHSD,Barons Court,Hammersmith,District,Inbound,WB,WB
940GZZLUBSC,940GZZLUWKN,Barons Court,West Kensington,District,Outbound,EB,EB
940GZZLUBWT,940GZZLUPAH,Bayswater,Paddington,District,Outbound,EB,EB
940GZZLUBWT,940GZZLUNHG,Bayswater,Notting Hill Gate,District,Inbound,WB,WB
940GZZLUBWT,940GZZLUPAH,Bayswater,Paddington,Circle,Outbound,OR,WB
940GZZLUBWT,940GZZLUNHG,Bayswater,Notting Hill Gate,Circle,Inbound,IR,EB
940GZZLUBEC,940GZZLUUPY,Becontree,Upney,District,Inbound,WB,WB
940GZZLUBEC,940GZZLUDGY,Becontree,Dagenham Heathway,District,Outbound,EB,EB
940GZZLUBZP,940GZZLUHTD,Belsize Park,Hampstead,Northern,Outbound,NB,NB
940GZZLUBZP,940GZZLUCFM,Belsize Park,Chalk Farm,Northern,Inbound,SB,SB
940GZZLUBMY,940GZZLUCWR,Bermondsey,Canada Water,Jubilee,Outbound,EB,EB
940GZZLUBMY,940GZZLULNB,Bermondsey,London Bridge,Jubilee,Inbound,WB,WB
940GZZLUBLG,940GZZLULVT,Bethnal Green,Liverpool Street,Central,Inbound,WB,WB
940GZZLUBLG,940GZZLUMED,Bethnal Green,Mile End,Central,Outbound,EB,EB
940GZZLUBKF,940GZZLUTMP,Blackfriars,Temple,District,Inbound,WB,WB
940GZZLUBKF,940GZZLUMSH,Blackfriars,Mansion House,District,Outbound,EB,EB
940GZZLUBKF,940GZZLUTMP,Blackfriars,Temple,Circle,Outbound,OR,WB
940GZZLUBKF,940GZZLUMSH,Blackfriars,Mansion House,Circle,Inbound,IR,EB
940GZZLUBLR,940GZZLUWWL,Blackhorse Road,Walthamstow Central,Victoria,Outbound,NB,NB
940GZZLUBLR,940GZZLUTMH,Blackhorse Road,Tottenham Hale,Victoria,Inbound,SB,SB
940GZZLUBND,940GZZLUMBA,Bond Street,Marble Arch,Central,Inbound,WB,WB
940GZZLUBND,940GZZLUOXC,Bond Street,Oxford Circus,Central,Outbound,EB,EB
940GZZLUBND,940GZZLUGPK,Bond Street,Green Park,Jubilee,Outbound,EB,SB
940GZZLUBND,940GZZLUBST,Bond Street,Baker Street,Jubilee,Inbound,WB,NB
940GZZLUBOR,940GZZLULNB,Borough,London Bridge,Northern,Outbound,NB,NB
940GZZLUBOR,940GZZLUEAC,Borough,Elephant & Castle,Northern,Inbound,SB,SB
940GZZLUBOS,940GZZLUOSY,Boston Manor,Osterley,Piccadilly,Inbound,WB,WB
940GZZLUBOS,940GZZLUNFD,Boston Manor,Northfields,Piccadilly,Outbound,EB,EB
940GZZLUBDS,940GZZLUWOG,Bounds Green,Wood Green,Piccadilly,Inbound,WB,WB
940GZZLUBDS,940GZZLUASG,Bounds Green,Arnos Grove,Piccadilly,Outbound,EB,EB
940GZZLUBWR,940GZZLUMED,Bow Road,Mile End,District,Inbound,WB,WB
940GZZLUBWR,940GZZLUBBB,Bow Road,Bromley-By-Bow,District,Outbound,EB,EB
940GZZLUBWR,940GZZLUBBB,Bow Road,Bromley-By-Bow,Hammersmith & City,Outbound,EB,EB
940GZZLUBWR,940GZZLUMED,Bow Road,Mile End,Hammersmith & City,Inbound,WB,WB
940GZZLUBTX,940GZZLUHCL,Brent Cross,Hendon Central,Northern,Outbound,NB,NB
940GZZLUBTX,940GZZLUGGN,Brent Cross,Golders Green,Northern,Inbound,SB,SB
940GZZLUBXN,940GZZLUSKW,Brixton,Stockwell,Victoria,Outbound,NB,NB
940GZZLUBBB,940GZZLUBWR,Bromley-By-Bow,Bow Road,District,Inbound,WB,WB
940GZZLUBBB,940GZZLUWHM,Bromley-By-Bow,West Ham,District,Outbound,EB,EB
940GZZLUBBB,940GZZLUWHM,Bromley-By-Bow,West Ham,Hammersmith & City,Outbound,EB,EB
940GZZLUBBB,940GZZLUBWR,Bromley-By-Bow,Bow Road,Hammersmith & City,Inbound,WB,WB
940GZZLUBKH,940GZZLUWOF,Buckhurst Hill,Woodford,Central,Inbound,WB,WB
940GZZLUBKH,940GZZLULGN,Buckhurst Hill,Loughton,Central,Outbound,EB,EB
940GZZLUBTK,940GZZLUEGW,Burnt Oak,Edgware,Northern,Outbound,NB,NB
940GZZLUBTK,940GZZLUCND,Burnt Oak,Colindale,Northern,Inbound,SB,SB
940GZZLUCAR,940GZZLUKSX,Caledonian Road,King's Cross St Pancras,Piccadilly,Inbound,WB,WB
940GZZLUCAR,940GZZLUHWY,Caledonian Road,Holloway Road,Piccadilly,Outbound,EB,EB
940GZZLUCTN,940GZZLUKSH,Camden Town,Kentish Town,Northern,Outbound,NB,NB
940GZZLUCTN,940GZZLUCFM,Camden Town,Chalk Farm,Northern,Outbound,NB,NB
940GZZLUCTN,940GZZLUMTC,Camden Town,Mornington Crescent,Northern,Inbound,SB,SB
940GZZLUCTN,940GZZLUEUS,Camden Town,Euston,Northern,Inbound,SB,SB
940GZZLUCWR,940GZZLUCYF,Canada Water,Canary Wharf,Jubilee,Outbound,EB,EB
940GZZLUCWR,940GZZLUBMY,Canada Water,Bermondsey,Jubilee,Inbound,WB,WB
940GZZLUCYF,940GZZLUNGW,Canary Wharf,North Greenwich,Jubilee,Outbound,EB,EB
940GZZLUCYF,940GZZLUCWR,Canary Wharf,Canada Water,Jubilee,Inbound,WB,WB
940GZZLUCGT,940GZZLUWHM,Canning Town,West Ham,Jubilee,Outbound,EB,EB
940GZZLUCGT,940GZZLUNGW,Canning Town,North Greenwich,Jubilee,Inbound,WB,WB
940GZZLUCST,940GZZLUMSH,Cannon Street,Mansion House,District,Inbound,WB,WB
940GZZLUCST,940GZZLUMMT,Cannon Street,Monument,District,Outbound,EB,EB
940GZZLUCST,940GZZLUMSH,Cannon Street,Mansion House,Circle,Outbound,OR,WB
940GZZLUCST,940GZZLUMMT,Cannon Street,Monument,Circle,Inbound,IR,EB
940GZZLUCPK,940GZZLUQBY,Canons Park,Queensbury,Jubilee,Outbound,EB,SB
940GZZLUCPK,940GZZLUSTM,Canons Park,Stanmore,Jubilee,Inbound,WB,NB
940GZZLUCAL,940GZZLUCYD,Chalfont & Latimer,Chorleywood,Metropolitan,Outbound,SB,SB
940GZZLUCAL,940GZZLUCSM,Chalfont & Latimer,Chesham,Metropolitan,Inbound,NB,NB
940GZZLUCAL,940GZZLUAMS,Chalfont & Latimer,Amersham,Metropolitan,Inbound,NB,NB
940GZZLUCFM,940GZZLUBZP,Chalk Farm,Belsize Park,Northern,Outbound,NB,NB
940GZZLUCFM,940GZZLUCTN,Chalk Farm,Camden Town,Northern,Inbound,SB,SB
940GZZLUCHL,940GZZLUHBN,Chancery Lane,Holborn,Central,Inbound,WB,WB
940GZZLUCHL,940GZZLUSPU,Chancery Lane,St Paul's,Central,Outbound,EB,EB
940GZZLUCHX,940GZZLUEMB,Charing Cross,Embankment,Bakerloo,Inbound,SB,SB
940GZZLUCHX,940GZZLUPCC,Charing Cross,Piccadilly Circus,Bakerloo,Outbound,NB,NB
940GZZLUCHX,940GZZLULSQ,Charing Cross,Leicester Square,Northern,Outbound,NB,NB
940GZZLUCHX,940GZZLUEMB,Charing Cross,Embankment,Northern,Inbound,SB,SB
940GZZLUCSM,940GZZLUCAL,Chesham,Chalfont & Latimer,Metropolitan,Outbound,SB,SB
940GZZLUCWL,940GZZLUGGH,Chigwell,Grange Hill,Central,Inbound,WB,WB
940GZZLUCWL,940GZZLURVY,Chigwell,Roding Valley,Central,Outbound,EB,EB
940GZZLUCWP,940GZZLUACT,Chiswick Park,Acton Town,District,Inbound,WB,WB
940GZZLUCWP,940GZZLUTNG,Chiswick Park,Turnham Green,District,Outbound,EB,EB
940GZZLUCYD,940GZZLURKW,Chorleywood,Rickmansworth,Metropolitan,Outbound,SB,SB
940GZZLUCYD,940GZZLUCAL,Chorleywood,Chalfont & Latimer,Metropolitan,Inbound,NB,NB
940GZZLUCPC,940GZZLUCPN,Clapham Common,Clapham North,Northern,Outbound,NB,NB
940GZZLUCPC,940GZZLUCPS,Clapham Common,Clapham South,Northern,Inbound,SB,SB
940GZZLUCPN,940GZZLUSKW,Clapham North,Stockwell,Northern,Outbound,NB,NB
940GZZLUCPN,940GZZLUCPC,Clapham North,Clapham Common,Northern,Inbound,SB,SB
940GZZLUCPS,940GZZLUCPC,Clapham South,Clapham Common,Northern,Outbound,NB,NB
940GZZLUCPS,940GZZLUBLM,Clapham South,Balham,Northern,Inbound,SB,SB
940GZZLUCKS,940GZZLUOAK,Cockfosters,Oakwood,Piccadilly,Inbound,WB,WB
940GZZLUCND,940GZZLUBTK,Colindale,Burnt Oak,Northern,Outbound,NB,NB
940GZZLUCND,940GZZLUHCL,Colindale,Hendon Central,Northern,Inbound,SB,SB
940GZZLUCSD,940GZZLUTBY,Colliers Wood,Tooting Broadway,Northern,Outbound,NB,NB
940GZZLUCSD,940GZZLUSWN,Colliers Wood,South Wimbledon,Northern,Inbound,SB,SB
940GZZLUCGN,940GZZLULSQ,Covent Garden,Leicester Square,Piccadilly,Inbound,WB,WB
940GZZLUCGN,940GZZLUHBN,Covent Garden,Holborn,Piccadilly,Outbound,EB,EB
940GZZLUCXY,940GZZLUMPK,Croxley,Moor Park,Metropolitan,Outbound,SB,SB
940GZZLUCXY,940GZZLUWAF,Croxley,Watford,Metropolitan,Inbound,NB,NB
940GZZLUDGE,940GZZLUDGY,Dagenham East,Dagenham Heathway,District,Inbound,WB,WB
940GZZLUDGE,940GZZLUEPK,Dagenham East,Elm Park,District,Outbound,EB,EB
940GZZLUDGY,940GZZLUBEC,Dagenham Heathway,Becontree,District,Inbound,WB,WB
940GZZLUDGY,940GZZLUDGE,Dagenham Heathway,Dagenham East,District,Outbound,EB,EB
940GZZLUDBN,940GZZLULGN,Debden,Loughton,Central,Inbound,WB,WB
940GZZLUDBN,940GZZLUTHB,Debden,Theydon Bois,Central,Outbound,EB,EB
940GZZLUDOH,940GZZLUWIG,Dollis Hill,Willesden Green,Jubilee,Outbound,EB,SB
940GZZLUDOH,940GZZLUNDN,Dollis Hill,Neasden,Jubilee,Inbound,WB,NB
940GZZLUEBY,940GZZLUWTA,Ealing Broadway,West Acton,Central,Outbound,EB,EB
940GZZLUEBY,940GZZLUECM,Ealing Broadway,Ealing Common,District,Outbound,EB,EB
940GZZLUECM,940GZZLUNEN,Ealing Common,North Ealing,Piccadilly,Inbound,WB,WB
940GZZLUECM,940GZZLUACT,Ealing Common,Acton Town,Piccadilly,Outbound,EB,EB
940GZZLUECM,940GZZLUEBY,Ealing Common,Ealing Broadway,District,Inbound,WB,WB
940GZZLUECM,940GZZLUACT,Ealing Common,Acton Town,District,Outbound,EB,EB
940GZZLUECT,940GZZLUBSC,Earl's Court,Barons Court,Piccadilly,Inbound,WB,WB
940GZZLUECT,940GZZLUGTR,Earl's Court,Gloucester Road,Piccadilly,Outbound,EB,EB
940GZZLUECT,940GZZLUWKN,Earl's Court,West Kensington,District,Inbound,WB,WB
940GZZLUECT,940GZZLUKOY,Earl's Court,Olympia,District,Inbound,WB,WB
940GZZLUECT,940GZZLUHSK,Earl's Court,High Street Kensington,District,Outbound,EB,EB
940GZZLUECT,940GZZLUWBN,Earl's Court,West Brompton,District,Inbound,WB,WB
940GZZLUECT,940GZZLUGTR,Earl's Court,Gloucester Road,District,Outbound,EB,EB
940GZZLUEAN,940GZZLUNAN,East Acton,North Acton,Central,Inbound,WB,WB
940GZZLUEAN,940GZZLUWCY,East Acton,White City,Central,Outbound,EB,EB
940GZZLUEFY,940GZZLUFYC,East Finchley,Finchley Central,Northern,Outbound,NB,NB
940GZZLUEFY,940GZZLUHGT,East Finchley,Highgate,Northern,Inbound,SB,SB
940GZZLUEHM,940GZZLUUPK,East Ham,Upton Park,District,Inbound,WB,WB
940GZZLUEHM,940GZZLUBKG,East Ham,Barking,District,Outbound,EB,EB
940GZZLUEHM,940GZZLUBKG,East Ham,Barking,Hammersmith & City,Outbound,EB,EB
940GZZLUEHM,940GZZLUUPK,East Ham,Upton Park,Hammersmith & City,Inbound,WB,WB
940GZZLUEPY,940GZZLUSFS,East Putney,Southfields,District,Inbound,WB,WB
940GZZLUEPY,940GZZLUPYB,East Putney,Putney Bridge,District,Outbound,EB,EB
940GZZLUEAE,940GZZLURSM,Eastcote,Ruislip Manor,Piccadilly,Inbound,WB,WB
940GZZLUEAE,940GZZLURYL,Eastcote,Rayners Lane,Piccadilly,Outbound,EB,EB
940GZZLUEAE,940GZZLURYL,Eastcote,Rayners Lane,Metropolitan,Outbound,SB,EB
940GZZLUEAE,940GZZLURSM,Eastcote,Ruislip Manor,Metropolitan,Inbound,NB,WB
940GZZLUEGW,940GZZLUBTK,Edgware,Burnt Oak,Northern,Inbound,SB,SB
940GZZLUERB,940GZZLUMYB,Edgware Road,Marylebone,Bakerloo,Inbound,SB,SB
940GZZLUERB,940GZZLUPAC,Edgware Road,Paddington,Bakerloo,Outbound,NB,NB
940GZZLUERC,940GZZLUPAH,Edgware Road,Paddington,District,Inbound,WB,WB
940GZZLUERC,940GZZLUBST,Edgware Road,Baker Street,Hammersmith & City,Outbound,EB,EB
940GZZLUERC,940GZZLUPAH,Edgware Road,Paddington,Hammersmith & City,Inbound,WB,WB
940GZZLUERC,940GZZLUBST,Edgware Road,Baker Street,Circle,Outbound,OR,EB
940GZZLUERC,940GZZLUPAH,Edgware Road,Paddington,Circle,Inbound,IR,WB
940GZZLUERC,940GZZLUPAH,Edgware Road,Paddington,Circle,Inbound,IR,WB
940GZZLUEAC,940GZZLULBN,Elephant & Castle,Lambeth North,Bakerloo,Outbound,NB,NB
940GZZLUEAC,940GZZLUBOR,Elephant & Castle,Borough,Northern,Outbound,NB,NB
940GZZLUEAC,940GZZLUKNG,Elephant & Castle,Kennington,Northern,Inbound,SB,SB
940GZZLUEPK,940GZZLUDGE,Elm Park,Dagenham East,District,Inbound,WB,WB
940GZZLUEPK,940GZZLUHCH,Elm Park,Hornchurch,District,Outbound,EB,EB
940GZZLUEMB,940GZZLUWLO,Embankment,Waterloo,Bakerloo,Inbound,SB,SB
940GZZLUEMB,940GZZLUCHX,Embankment,Charing Cross,Bakerloo,Outbound,NB,NB
940GZZLUEMB,940GZZLUCHX,Embankment,Charing Cross,Northern,Outbound,NB,NB
940GZZLUEMB,940GZZLUWLO,Embankment,Waterloo,Northern,Inbound,SB,SB
940GZZLUEMB,940GZZLUWSM,Embankment,Westminster,District,Inbound,WB,WB
940GZZLUEMB,940GZZLUTMP,Embankment,Temple,District,Outbound,EB,EB
940GZZLUEMB,940GZZLUWSM,Embankment,Westminster,Circle,Outbound,OR,WB
940GZZLUEMB,940GZZLUTMP,Embankment,Temple,Circle,Inbound,IR,EB
940GZZLUEPG,940GZZLUTHB,Epping,Theydon Bois,Central,Inbound,WB,WB
940GZZLUEUS,940GZZLUKSX,Euston,King's Cross St Pancras,Victoria,Outbound,NB,NB
940GZZLUEUS,940GZZLUWRR,Euston,Warren Street,Victoria,Inbound,SB,SB
940GZZLUEUS,940GZZLUCTN,Euston,Camden Town,Northern,Outbound,NB,NB
940GZZLUEUS,940GZZLUMTC,Euston,Mornington Crescent,Northern,Outbound,NB,NB
940GZZLUEUS,940GZZLUWRR,Euston,Warren Street,Northern,Inbound,SB,SB
940GZZLUEUS,940GZZLUKSX,Euston,King's Cross St Pancras,Northern,Inbound,SB,SB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Metropolitan,Outbound,SB,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Metropolitan,Inbound,NB,WB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Hammersmith & City,Outbound,EB,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Hammersmith & City,Inbound,WB,WB
940GZZLUESQ,940GZZLUKSX,Euston Square,King's Cross St Pancras,Circle,Outbound,OR,EB
940GZZLUESQ,940GZZLUGPS,Euston Square,Great Portland Street,Circle,Inbound,IR,WB
940GZZLUFLP,940GZZLUBKE,Fairlop,Barkingside,Central,Inbound,WB,WB
940GZZLUFLP,940GZZLUHLT,Fairlop,Hainault,Central,Outbound,EB,EB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Metropolitan,Outbound,SB,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Metropolitan,Inbound,NB,WB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Hammersmith & City,Outbound,EB,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Hammersmith & City,Inbound,WB,WB
940GZZLUFCN,940GZZLUBBN,Farringdon,Barbican,Circle,Outbound,OR,EB
940GZZLUFCN,940GZZLUKSX,Farringdon,King's Cross St Pancras,Circle,Inbound,IR,WB
940GZZLUFYC,940GZZLUWFN,Finchley Central,West Finchley,Northern,Outbound,NB,NB
940GZZLUFYC,940GZZLUMHL,Finchley Central,Mill Hill East,Northern,Outbound,NB,NB
940GZZLUFYC,940GZZLUEFY,Finchley Central,East Finchley,Northern,Inbound,SB,SB
940GZZLUFYR,940GZZLUSWC,Finchley Road,Swiss Cottage,Jubilee,Outbound,EB,SB
940GZZLUFYR,940GZZLUWHP,Finchley Road,West Hampstead,Jubilee,Inbound,WB,NB
940GZZLUFYR,940GZZLUBST,Finchley Road,Baker Street,Metropolitan,Outbound,SB,SB
940GZZLUFYR,940GZZLUWYP,Finchley Road,Wembley Park,Metropolitan,Inbound,NB,NB
940GZZLUFPK,940GZZLUSVS,Finsbury Park,Seven Sisters,Victoria,Outbound,NB,NB
940GZZLUFPK,940GZZLUHAI,Finsbury Park,Highbury And Islington,Victoria,Inbound,SB,SB
940GZZLUFPK,940GZZLUASL,Finsbury Park,Arsenal,Piccadilly,Inbound,WB,SB
940GZZLUFPK,940GZZLUMRH,Finsbury Park,Manor House,Piccadilly,Outbound,EB,NB
940GZZLUFBY,940GZZLUPSG,Fulham Broadway,Parsons Green,District,Inbound,WB,WB
940GZZLUFBY,940GZZLUWBN,Fulham Broadway,West Brompton,District,Outbound,EB,EB
940GZZLUGTH,940GZZLURBG,Gants Hill,Redbridge,Central,Inbound,WB,WB
940GZZLUGTH,940GZZLUNBP,Gants Hill,Newbury Park,Central,Outbound,EB,EB
940GZZLUGTR,940GZZLUECT,Gloucester Road,Earl's Court,Piccadilly,Inbound,WB,WB
940GZZLUGTR,940GZZLUSKS,Gloucester Road,South Kensington,Piccadilly,Outbound,EB,EB
940GZZLUGTR,940GZZLUECT,Gloucester Road,Earl's Court,District,Inbound,WB,WB
940GZZLUGTR,940GZZLUSKS,Gloucester Road,South Kensington,District,Outbound,EB,EB
940GZZLUGTR,940GZZLUHSK,Gloucester Road,High Street Kensington,Circle,Outbound,OR,WB
